AssessmentId,AssessmentName,AssessmentSubject,AssessmentGrade,AssessmentType,AssessmentSubtype,AssessmentLabel,AssessmentVersion,AcademicYear,FullItemKey,BankKey,ItemId,Filename,Version,ItemType,Grade,Standard,Claim,Target,PassageId,ASL,Braille,LanguageBraille,DOK,Language,AllowCalculator,MathematicalPractice,MaxPoints,Glossary,ScoringEngine,Spanish,IsFieldTest,IsActive,ResponseRequired,AdminRequired,ItemPosition,MeasurementModel,Weight,ScorePoints,a,b0_b,b1_c,b2,b3,avg_b,bpref1,bpref2,bpref3,bpref4,bpref5,bpref6,bpref7,CommonCore,ClaimContentTarget,SecondaryCommonCore,SecondaryClaimContentTarget,CutPoint1,ScaledLow1,ScaledHigh1,CutPoint2,ScaledLow2,ScaledHigh2,CutPoint3,ScaledLow3,ScaledHigh3,CutPoint4,ScaledLow4,ScaledHigh4
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-12685,200,12685,item-200-12685.xml,7994,MC,11,SBAC-ELA-v1:4-CR|3-11,"4-CR	","3-11	",,,,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,11,IRT3PLn,1,1,0.3924,-0.25117,0,,,-0.25117,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-4-CR|3-11,,,,,"11-12.WHST.8	",4-CR|3-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-16030,200,16030,item-200-16030.xml,8042,MC,11,SBAC-ELA-v1:4-CR|2-11,"4-CR	","2-11	",,,,ENU-Braille,2,ENU,,,1,,Automatic with key,,FALSE,TRUE,TRUE,TRUE,23,IRT3PLn,1,1,0.39673,0.27871,0,,,0.27871,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-4-CR|2-11,,,,,"11-12.WHST.8	",4-CR|2-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-16475,200,16475,item-200-16475.xml,8042,MC,11,SBAC-ELA-v1:4-CR|4-11,"4-CR	","4-11	",,,,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,29,IRT3PLn,1,1,0.18338,0.40497,0,,,0.40497,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-4-CR|4-11,,,,,"11-12.WHST.9	",4-CR|4-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-16583,200,16583,item-200-16583.xml,8042,MC,11,SBAC-ELA-v1:4-CR|4-11,"4-CR	","4-11	",,,,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,36,IRT3PLn,1,1,0.2722,1.85267,0,,,1.85267,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-4-CR|4-11,,,,,"11-12.WHST.9	",4-CR|4-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-21821,200,21821,item-200-21821.xml,7994,MC,11,SBAC-ELA-v1:2-W|9-11,"2-W	","9-11	",,,,ENU-Braille,1,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,3,IRT3PLn,1,1,0.33493,-0.44963,0,,,-0.44963,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-2-W|9-11,,,,,"11-12.L.2b	",2-W|9-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-21825,200,21825,item-200-21825.xml,7994,MC,11,SBAC-ELA-v1:2-W|9-11,"2-W	","9-11	",,,,ENU-Braille,1,ENU,,,1,,Automatic with key,,FALSE,TRUE,TRUE,TRUE,16,IRT3PLn,1,1,0.39557,0.24302,0,,,0.24302,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-2-W|9-11,,,,,"11-12.L.2a	",2-W|9-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-21884,200,21884,item-200-21884.xml,8042,MC,11,SBAC-ELA-v1:2-W|9-11,"2-W	","9-11	",,,,ENU-Braille,1,ENU,,,1,,Automatic with key,,FALSE,TRUE,TRUE,TRUE,35,IRT3PLn,1,1,0.1834,0.17575,0,,,0.17575,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-2-W|9-11,,,,,"11-12.L.2a	",2-W|9-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-22506,200,22506,item-200-22506.xml,7994,MC,11,SBAC-ELA-v1:4-CR|2-11,"4-CR	","2-11	",,,,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,2,IRT3PLn,1,1,0.64994,-0.38312,0,,,-0.38312,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-4-CR|2-11,,,,,"11-12.WHST.8	",4-CR|2-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-26341,200,26341,item-200-26341.xml,7994,MC,11,SBAC-ELA-v1:1-IT|8-11,"1-IT	","8-11	",200-91,,,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,FALSE,FALSE,26,IRT3PLn,1,1,0.26752,0.85548,0,,,0.85548,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-1-IT|8-11,,,,,"11-12.RI.1	",1-IT|8-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-26355,200,26355,item-200-26355.xml,7994,MC,11,SBAC-ELA-v1:1-IT|14-11,"1-IT	","14-11	",200-91,,,ENU-Braille,3,ENU,,,1,,Automatic with Key,,FALSE,TRUE,FALSE,FALSE,25,IRT3PLn,1,1,0.36862,0.61793,0,,,0.61793,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-1-IT|14-11,,,,,"9-10.L.5a	",1-IT|14-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-27729,200,27729,item-200-27729.xml,7994,HTQ,11,SBAC-ELA-v1:1-IT|11-11,"1-IT	","11-11	",200-91,,,ENU-Braille,3,ENU,,,1,,Automatic with Machine Rubric,,FALSE,TRUE,FALSE,FALSE,27,IRT3PLn,1,1,0.32651,2.0687,0,,,2.0687,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-1-IT|11-11,,,,,,1-IT|11-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
