AssessmentId,AssessmentName,AssessmentSubject,AssessmentGrade,AssessmentType,AssessmentSubtype,AssessmentLabel,AssessmentVersion,AcademicYear,FullItemKey,BankKey,ItemId,Filename,Version,ItemType,Grade,Standard,Claim,Target,PassageId,ASL,Braille,LanguageBraille,DOK,Language,AllowCalculator,MathematicalPractice,MaxPoints,Glossary,ScoringEngine,Spanish,IsFieldTest,IsActive,ResponseRequired,AdminRequired,ItemPosition,MeasurementModel,Weight,ScorePoints,a,b0_b,b1_c,b2,b3,avg_b,bpref1,bpref2,bpref3,bpref4,bpref5,bpref6,bpref7,CommonCore,ClaimContentTarget,SecondaryCommonCore,SecondaryClaimContentTarget,PtWritingType,AnswerKey,NumberOfAnswerOptions,CutPoint1,ScaledLow1,ScaledHigh1,CutPoint2,ScaledLow2,ScaledHigh2,CutPoint3,ScaledLow3,ScaledHigh3,CutPoint4,ScaledLow4,ScaledHigh4,CutPoint5,ScaledLow5,ScaledHigh5,CutPoint6,ScaledLow6,ScaledHigh6
(SBAC)SBAC-ICA-FIXED-G11NewSubject-COMBINED-2017-Winter-2016-2017,SBAC-ICA-FIXED-G11NewSubject-COMBINED,newsubject,11,interim,ICA,Grade 11 NewSubject,12115,2017,200-12685,200,12685,item-200-12685.xml,12094,MC,11,SBAC-NewSubject-v1:4-CR|3-11,CLAIM_4,1-Aug,,,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,11,IRT3PLn,1,1,0.3924,-0.25117,0,,,-0.25117,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-NewSubject-11-Winter-2016-2017,,SBAC-4-CR|3-11,,,,,"11-12.WHST.8	;11-12.WHST.8	",CLAIM_4|8-1,"11-12.WHST.8	",,,B,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,5,2.80E+03,2.90E+03,6,2.90E+03,3.00E+03
(SBAC)SBAC-ICA-FIXED-G11NewSubject-COMBINED-2017-Winter-2016-2017,SBAC-ICA-FIXED-G11NewSubject-COMBINED,newsubject,11,interim,ICA,Grade 11 NewSubject,12115,2017,200-16030,200,16030,item-200-16030.xml,12115,MC,11,SBAC-NewSubject-v1:4-CR|2-11,CLAIM_4,1-Aug,,,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,23,IRT3PLn,1,1,0.39673,0.27871,0,,,0.27871,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-NewSubject-11-Winter-2016-2017,,SBAC-4-CR|2-11,,,,,"11-12.WHST.8	;11-12.WHST.8	",CLAIM_4|8-1,"11-12.WHST.8	",,,D,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,5,2.80E+03,2.90E+03,6,2.90E+03,3.00E+03
(SBAC)SBAC-ICA-FIXED-G11NewSubject-COMBINED-2017-Winter-2016-2017,SBAC-ICA-FIXED-G11NewSubject-COMBINED,newsubject,11,interim,ICA,Grade 11 NewSubject,12115,2017,200-16475,200,16475,item-200-16475.xml,12115,MC,11,SBAC-NewSubject-v1:4-CR|4-11,CLAIM_4,1-Aug,,,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,29,IRT3PLn,1,1,0.18338,0.40497,0,,,0.40497,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-NewSubject-11-Winter-2016-2017,,SBAC-4-CR|4-11,,,,,"11-12.WHST.9	;11-12.WHST.9	",CLAIM_4|8-1,"11-12.WHST.9	",,,C,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,5,2.80E+03,2.90E+03,6,2.90E+03,3.00E+03
(SBAC)SBAC-ICA-FIXED-G11NewSubject-COMBINED-2017-Winter-2016-2017,SBAC-ICA-FIXED-G11NewSubject-COMBINED,newsubject,11,interim,ICA,Grade 11 NewSubject,12115,2017,200-16583,200,16583,item-200-16583.xml,12115,MC,11,SBAC-NewSubject-v1:4-CR|4-11,CLAIM_4,1-Aug,,,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,36,IRT3PLn,1,1,0.2722,1.85267,0,,,1.85267,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-NewSubject-11-Winter-2016-2017,,SBAC-4-CR|4-11,,,,,"11-12.WHST.9	;11-12.WHST.9	",CLAIM_4|8-1,"11-12.WHST.9	",,,D,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,5,2.80E+03,2.90E+03,6,2.90E+03,3.00E+03
(SBAC)SBAC-ICA-FIXED-G11NewSubject-COMBINED-2017-Winter-2016-2017,SBAC-ICA-FIXED-G11NewSubject-COMBINED,newsubject,11,interim,ICA,Grade 11 NewSubject,12115,2017,200-21821,200,21821,item-200-21821.xml,12094,MC,11,SBAC-NewSubject-v1:2-W|9-11,CLAIM_2,1-Apr,,,BRF,ENU-Braille,1,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,3,IRT3PLn,1,1,0.33493,-0.44963,0,,,-0.44963,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-NewSubject-11-Winter-2016-2017,,SBAC-2-W|9-11,,,,,"11-12.L.2b	;11-12.L.2b	",CLAIM_2|4-1,"11-12.L.2b	",,,C,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,5,2.80E+03,2.90E+03,6,2.90E+03,3.00E+03
(SBAC)SBAC-ICA-FIXED-G11NewSubject-COMBINED-2017-Winter-2016-2017,SBAC-ICA-FIXED-G11NewSubject-COMBINED,newsubject,11,interim,ICA,Grade 11 NewSubject,12115,2017,200-21825,200,21825,item-200-21825.xml,12094,MC,11,SBAC-NewSubject-v1:2-W|9-11,CLAIM_2,1-Apr,,,BRF,ENU-Braille,1,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,16,IRT3PLn,1,1,0.39557,0.24302,0,,,0.24302,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-NewSubject-11-Winter-2016-2017,,SBAC-2-W|9-11,,,,,"11-12.L.2a	;11-12.L.2a	",CLAIM_2|4-1,"11-12.L.2a	",,,D,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,5,2.80E+03,2.90E+03,6,2.90E+03,3.00E+03
(SBAC)SBAC-ICA-FIXED-G11NewSubject-COMBINED-2017-Winter-2016-2017,SBAC-ICA-FIXED-G11NewSubject-COMBINED,newsubject,11,interim,ICA,Grade 11 NewSubject,12115,2017,200-21884,200,21884,item-200-21884.xml,12115,MC,11,SBAC-NewSubject-v1:2-W|9-11,CLAIM_2,1-Apr,,,BRF,ENU-Braille,1,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,35,IRT3PLn,1,1,0.1834,0.17575,0,,,0.17575,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-NewSubject-11-Winter-2016-2017,,SBAC-2-W|9-11,,,,,"11-12.L.2a	;11-12.L.2a	",CLAIM_2|4-1,"11-12.L.2a	",,,B,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,5,2.80E+03,2.90E+03,6,2.90E+03,3.00E+03
(SBAC)SBAC-ICA-FIXED-G11NewSubject-COMBINED-2017-Winter-2016-2017,SBAC-ICA-FIXED-G11NewSubject-COMBINED,newsubject,11,interim,ICA,Grade 11 NewSubject,12115,2017,200-22506,200,22506,item-200-22506.xml,12094,MC,11,SBAC-NewSubject-v1:4-CR|2-11,CLAIM_4,1-Aug,,,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,2,IRT3PLn,1,1,0.64994,-0.38312,0,,,-0.38312,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-NewSubject-11-Winter-2016-2017,,SBAC-4-CR|2-11,,,,,"11-12.WHST.8	;11-12.WHST.8	",CLAIM_4|8-1,"11-12.WHST.8	",,,B,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,5,2.80E+03,2.90E+03,6,2.90E+03,3.00E+03
(SBAC)SBAC-ICA-FIXED-G11NewSubject-COMBINED-2017-Winter-2016-2017,SBAC-ICA-FIXED-G11NewSubject-COMBINED,newsubject,11,interim,ICA,Grade 11 NewSubject,12115,2017,200-26341,200,26341,item-200-26341.xml,12094,MC,11,SBAC-NewSubject-v1:1-IT|8-11,CLAIM_1,1-Jan,200-91,,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,FALSE,FALSE,26,IRT3PLn,1,1,0.26752,0.85548,0,,,0.85548,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-NewSubject-11-Winter-2016-2017,,SBAC-1-IT|8-11,,,,,"11-12.RI.1	;11-12.RI.1	",CLAIM_1|1-1,"11-12.RI.1	",,,B,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,5,2.80E+03,2.90E+03,6,2.90E+03,3.00E+03
(SBAC)SBAC-ICA-FIXED-G11NewSubject-COMBINED-2017-Winter-2016-2017,SBAC-ICA-FIXED-G11NewSubject-COMBINED,newsubject,11,interim,ICA,Grade 11 NewSubject,12115,2017,200-26355,200,26355,item-200-26355.xml,12094,MC,11,SBAC-NewSubject-v1:1-IT|14-11,CLAIM_1,1-Jan,200-91,,BRF,ENU-Braille,3,ENU,,,1,,Automatic with Key,,FALSE,TRUE,FALSE,FALSE,25,IRT3PLn,1,1,0.36862,0.61793,0,,,0.61793,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-NewSubject-11-Winter-2016-2017,,SBAC-1-IT|14-11,,,,,"9-10.L.5a	;9-10.L.5a	",CLAIM_1|1-1,"9-10.L.5a	",,,A,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,5,2.80E+03,2.90E+03,6,2.90E+03,3.00E+03
