AssessmentId,AssessmentName,AssessmentSubject,AssessmentGrade,AssessmentType,AssessmentSubtype,AssessmentLabel,AssessmentVersion,AcademicYear,FullItemKey,BankKey,ItemId,Filename,Version,ItemType,Grade,Standard,Claim,Target,PassageId,ASL,Braille,LanguageBraille,DOK,Language,AllowCalculator,MathematicalPractice,MaxPoints,Glossary,ScoringEngine,Spanish,IsFieldTest,IsActive,ResponseRequired,AdminRequired,ItemPosition,MeasurementModel,Weight,ScorePoints,a,b0_b,b1_c,b2,b3,avg_b,bpref1,bpref2,bpref3,bpref4,bpref5,bpref6,bpref7,CommonCore,ClaimContentTarget,SecondaryCommonCore,SecondaryClaimContentTarget,PtWritingType,AnswerKey,NumberOfAnswerOptions,CutPoint1,ScaledLow1,ScaledHigh1,CutPoint2,ScaledLow2,ScaledHigh2
(SBAC)SBAC-ICA-FIXED-G6MiniSubject-COMBINED-Winter-2017-2018,SBAC-ICA-FIXED-G6MiniSubject-COMBINED,minisub,6,interim,ICA,Grade 6 MiniSubject,12115,2018,200-25303,200,25303,item-200-25303.xml,12094,MC,6,1.2.3,CLAIM_1,1-Jan,200-568,Y,BRF,ENU-Braille,3,ENU,,,1,,Automatic with Key,,FALSE,TRUE,FALSE,FALSE,30,IRT3PLn,1,1,0.35643,-0.16732,0,,,-0.16732,(SBAC)SBAC-ICA-FIXED-G6E-COMBINED-MiniSubject-6-Winter-2017-2018,,SBAC-3-L|4-6,,,,,1.2.3,CLAIM_1|1-1,,,,A,4,1,2210,2620,2,2620,2920
(SBAC)SBAC-ICA-FIXED-G6MiniSubject-COMBINED-Winter-2017-2018,SBAC-ICA-FIXED-G6MiniSubject-COMBINED,minisub,6,interim,ICA,Grade 6 MiniSubject,12115,2018,200-25305,200,25305,item-200-25305.xml,12115,MC,6,2.3.4,CLAIM_1,1-Feb,200-568,Y,BRF,ENU-Braille,3,ENU,,,1,,Automatic with Key,,FALSE,TRUE,FALSE,FALSE,31,IRT3PLn,1,1,0.17118,1.07744,0,,,1.07744,(SBAC)SBAC-ICA-FIXED-G6E-COMBINED-MiniSubject-6-Winter-2017-2018,,SBAC-3-L|4-6,,,,,2.3.4,CLAIM_1|2-1,,,,D,4,1,2210,2620,2,2620,2920
(SBAC)SBAC-ICA-FIXED-G6MiniSubject-COMBINED-Winter-2017-2018,SBAC-ICA-FIXED-G6MiniSubject-COMBINED,minisub,6,interim,ICA,Grade 6 MiniSubject,12115,2018,200-25307,200,25307,item-200-25307.xml,12094,MS,6,3.4.5,CLAIM_2,1-Mar,200-568,Y,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Key(s),,FALSE,TRUE,FALSE,FALSE,32,IRT3PLn,1,1,0.83967,0.69278,0,,,0.69278,(SBAC)SBAC-ICA-FIXED-G6E-COMBINED-MiniSubject-6-Winter-2017-2018,,SBAC-3-L|4-6,,,,,3.4.5,CLAIM_2|3-1,,,,"C,D",6,1,2210,2620,2,2620,2920
(SBAC)SBAC-ICA-FIXED-G6MiniSubject-COMBINED-Winter-2017-2018,SBAC-ICA-FIXED-G6MiniSubject-COMBINED,minisub,6,interim,ICA,Grade 6 MiniSubject,12115,2018,200-27511,200,27511,item-200-27511.xml,12094,MC,6,1.2.3,CLAIM_2,1-Apr,,,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,24,IRT3PLn,1,1,0.36849,0.15611,0,,,0.15611,(SBAC)SBAC-ICA-FIXED-G6E-COMBINED-MiniSubject-6-Winter-2017-2018,,SBAC-2-W|3-6,,,,,1.2.3,CLAIM_2|4-1,,,,C,4,1,2210,2620,2,2620,2920
(SBAC)SBAC-ICA-FIXED-G6MiniSubject-COMBINED-Winter-2017-2018,SBAC-ICA-FIXED-G6MiniSubject-COMBINED,minisub,6,interim,ICA,Grade 6 MiniSubject,12115,2018,200-29321,200,29321,item-200-29321.xml,12094,MC,6,2.3.4,CLAIM_1,1-Jan,,,BRF,ENU-Braille,1,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,19,IRT3PLn,1,1,0.43015,-0.38405,0,,,-0.38405,(SBAC)SBAC-ICA-FIXED-G6E-COMBINED-MiniSubject-6-Winter-2017-2018,,SBAC-2-W|9-6,,,,,2.3.4,CLAIM_1|1-1,,,,C,4,1,2210,2620,2,2620,2920
(SBAC)SBAC-ICA-FIXED-G6MiniSubject-COMBINED-Winter-2017-2018,SBAC-ICA-FIXED-G6MiniSubject-COMBINED,minisub,6,interim,ICA,Grade 6 MiniSubject,12115,2018,200-30482,200,30482,item-200-30482.xml,12094,MC,6,3.4.5,CLAIM_1,1-Feb,,,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,33,IRT3PLn,1,1,0.41645,0.30917,0,,,0.30917,(SBAC)SBAC-ICA-FIXED-G6E-COMBINED-MiniSubject-6-Winter-2017-2018,,SBAC-4-CR|3-6,,,,,3.4.5,CLAIM_1|2-1,,,,B,4,1,2210,2620,2,2620,2920
(SBAC)SBAC-ICA-FIXED-G6MiniSubject-COMBINED-Winter-2017-2018,SBAC-ICA-FIXED-G6MiniSubject-COMBINED,minisub,6,interim,ICA,Grade 6 MiniSubject,12115,2018,200-30973,200,30973,item-200-30973.xml,12094,HTQ,6,1.2.3,CLAIM_2,1-Mar,,,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Machine Rubric,,FALSE,TRUE,TRUE,TRUE,40,IRT3PLn,1,1,0.9557,0.71467,0,,,0.71467,(SBAC)SBAC-ICA-FIXED-G6E-COMBINED-MiniSubject-6-Winter-2017-2018,,SBAC-4-CR|4-6,,,,,1.2.3,CLAIM_2|3-1,,,,qrx,0,1,2210,2620,2,2620,2920
(SBAC)SBAC-ICA-FIXED-G6MiniSubject-COMBINED-Winter-2017-2018,SBAC-ICA-FIXED-G6MiniSubject-COMBINED,minisub,6,interim,ICA,Grade 6 MiniSubject,12115,2018,200-31075,200,31075,item-200-31075.xml,12115,SA,6,2.3.4,CLAIM_2,1-Apr,200-877,,BRF,ENU-Braille,3,ENU,,,2,,HandScored,,FALSE,TRUE,FALSE,FALSE,28,IRTGPC,1,2,0.59853,1.08366,2.24366,,,1.66366,(SBAC)SBAC-ICA-FIXED-G6E-COMBINED-MiniSubject-6-Winter-2017-2018,,SBAC-1-LT|2-6,,,,,2.3.4,CLAIM_2|4-1,,,,Hand,0,1,2210,2620,2,2620,2920
(SBAC)SBAC-ICA-FIXED-G6MiniSubject-COMBINED-Winter-2017-2018,SBAC-ICA-FIXED-G6MiniSubject-COMBINED,minisub,6,interim,ICA,Grade 6 MiniSubject,12115,2018,200-32214,200,32214,item-200-32214.xml,12094,HTQ,6,3.4.5,CLAIM_1,1-Jan,,,BRF,ENU-Braille,1,ENU,,,1,,Automatic with Machine Rubric,,FALSE,TRUE,TRUE,TRUE,34,IRT3PLn,1,1,0.65987,0.93659,0,,,0.93659,(SBAC)SBAC-ICA-FIXED-G6E-COMBINED-MiniSubject-6-Winter-2017-2018,,SBAC-2-W|9-6,,,,,3.4.5,CLAIM_1|1-1,,,,qrx,0,1,2210,2620,2,2620,2920
(SBAC)SBAC-ICA-FIXED-G6MiniSubject-COMBINED-Winter-2017-2018,SBAC-ICA-FIXED-G6MiniSubject-COMBINED,minisub,6,interim,ICA,Grade 6 MiniSubject,12115,2018,200-32448,200,32448,item-200-32448.xml,12115,HTQ,6,1.2.3,CLAIM_1,1-Feb,200-877,,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Machine Rubric,,FALSE,TRUE,FALSE,FALSE,26,IRT3PLn,1,1,0.34673,-0.12715,0,,,-0.12715,(SBAC)SBAC-ICA-FIXED-G6E-COMBINED-MiniSubject-6-Winter-2017-2018,,SBAC-1-LT|2-6,,,,,1.2.3,CLAIM_1|2-1,,,,qrx,0,1,2210,2620,2,2620,2920
