AssessmentId,AssessmentName,AssessmentSubject,AssessmentGrade,AssessmentType,AssessmentSubtype,AssessmentLabel,AssessmentVersion,AcademicYear,FullItemKey,BankKey,ItemId,Filename,Version,ItemType,Grade,Standard,Claim,Target,PassageId,ASL,Braille,LanguageBraille,DOK,Language,AllowCalculator,MathematicalPractice,MaxPoints,Glossary,ScoringEngine,Spanish,IsFieldTest,IsActive,ResponseRequired,AdminRequired,ItemPosition,MeasurementModel,Weight,ScorePoints,a,b0_b,b1_c,b2,b3,avg_b,bpref1,bpref2,bpref3,bpref4,bpref5,bpref6,bpref7,CommonCore,ClaimContentTarget,SecondaryCommonCore,SecondaryClaimContentTarget,AnswerKey,NumberOfAnswerOptions,PerformanceTask,PtWritingType,CutPoint1,ScaledLow1,ScaledHigh1,CutPoint2,ScaledLow2,ScaledHigh2,CutPoint3,ScaledLow3,ScaledHigh3,CutPoint4,ScaledLow4,ScaledHigh4
(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-SUM-ELA-11-2019-2020,ELA,11,summative,SUM,Grade 11 ELA - Summative,1,2019,200-182700,200,182700,item-200-182700.xml,1,SA,11,SBAC-ELA-v1:4-CR|3-11|11-12.W.8,"4-CR	","3-11	",200-193759,N,BRF,ENU-Braille,4,ENU,,,2,,HandScored,Y,FALSE,TRUE,TRUE,TRUE,1,IRTGPC,1,4,0.87085,-1.19356,0.20084,1.68943,3.35493,1.01291,(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-4-CR,SBAC-4-CR|3-11,SBAC-4-CR|3-11|11-12.W.8,,,,11-12.W.8,"4-CR	|3-11	",,,Hand,0,,,1,2299,2493,2,2493,2583,3,2583,2682,4,2682,2795
(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-SUM-ELA-11-2019-2020,ELA,11,summative,SUM,Grade 11 ELA - Summative,1,2019,200-182701,200,182701,item-200-182701.xml,1,SA,11,SBAC-ELA-v1:4-CR|2-11|W.11-12.8,"4-CR	","2-11	",200-193759,N,BRF,ENU-Braille,4,ENU,,,2,,HandScored,Y,FALSE,TRUE,TRUE,TRUE,2,IRTGPC,1,1,0.77596,-0.6076,0,,,-0.6076,(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-4-CR,SBAC-4-CR|2-11,SBAC-4-CR|2-11|W.11-12.8,,,,11-12.W.8,"4-CR	|2-11	",,,Hand,0,,,1,2299,2493,2,2493,2583,3,2583,2682,4,2682,2795
(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-SUM-ELA-11-2019-2020,ELA,11,summative,SUM,Grade 11 ELA - Summative,1,2019,200-182702,200,182702,item-200-182702.xml,1,MI,11,SBAC-ELA-v1:4-CR|4-11|11-12.W.9,"4-CR	","4-11	",200-193759,N,BRF,ENU-Braille,3,ENU,,,1,,Automatic with Machine Rubric,Y,FALSE,TRUE,TRUE,TRUE,3,IRTGPC,1,2,0.90824,0.68522,1.31626,,,1.00074,(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-4-CR,SBAC-4-CR|4-11,SBAC-4-CR|4-11|11-12.W.9,,,,11-12.W.9a,"4-CR	|4-11	",,,qrx,0,,,1,2299,2493,2,2493,2583,3,2583,2682,4,2682,2795
(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-SUM-ELA-11-2019-2020,ELA,11,summative,SUM,Grade 11 ELA - Summative,1,2019,200-182703,200,182703,item-200-182703.xml,1,WER,11,SBAC-ELA-v1:2-W|7-11|11-12.W.1b,"2-W	","7-11	",200-193759,N,BRF,ENU-Braille,4,ENU,,,10,,HandScored,Y,FALSE,TRUE,TRUE,TRUE,4,,,,,,,,,1.85052,(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-2-W,SBAC-2-W|7-11,SBAC-2-W|7-11|11-12.W.1b,,,,11-12.W.1b,"2-W	|7-11	",,,Hand,0,,,1,2299,2493,2,2493,2583,3,2583,2682,4,2682,2795
(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-SUM-ELA-11-2019-2020,ELA,11,summative,SUM,Grade 11 ELA - Summative,1,2019,200-183091,200,183091,item-200-183091.xml,1,HTQ,11,SBAC-ELA-v1:1-LT|1-11|11-12.RL.1,"1-LT	","1-11	",200-193792,N,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Machine Rubric,Y,FALSE,TRUE,TRUE,TRUE,5,IRTGPC,1,4,0.87085,-1.19356,0.20084,1.68943,3.35493,1.01291,(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-1-LT,SBAC-1-LT|1-11,SBAC-1-LT|1-11|11-12.RL.1,,,,11-12.RL.1,"1-LT	|1-11	",,,qrx,0,,,1,2299,2493,2,2493,2583,3,2583,2682,4,2682,2795
(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-SUM-ELA-11-2019-2020,ELA,11,summative,SUM,Grade 11 ELA - Summative,1,2019,200-183093,200,183093,item-200-183093.xml,1,HTQ,11,SBAC-ELA-v1:1-LT|1-11|11-12.RL.1,"1-LT	","1-11	",200-193792,N,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Machine Rubric,Y,FALSE,TRUE,TRUE,TRUE,6,IRTGPC,1,1,0.77596,-0.6076,0,,,-0.6076,(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-1-LT,SBAC-1-LT|1-11,SBAC-1-LT|1-11|11-12.RL.1,,,,11-12.RL.1,"1-LT	|1-11	",,,qrx,0,,,1,2299,2493,2,2493,2583,3,2583,2682,4,2682,2795
(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-SUM-ELA-11-2019-2020,ELA,11,summative,SUM,Grade 11 ELA - Summative,1,2019,200-183095,200,183095,item-200-183095.xml,1,MC,11,SBAC-ELA-v1:1-LT|1-11|11-12.RL.1,"1-LT	","1-11	",200-193792,N,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Key,Y,FALSE,TRUE,TRUE,TRUE,7,IRTGPC,1,2,0.90824,0.68522,1.31626,,,1.00074,(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-1-LT,SBAC-1-LT|1-11,SBAC-1-LT|1-11|11-12.RL.1,,,,11-12.RL.1,"1-LT	|1-11	",,,C,4,,,1,2299,2493,2,2493,2583,3,2583,2682,4,2682,2795
(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-SUM-ELA-11-2019-2020,ELA,11,summative,SUM,Grade 11 ELA - Summative,1,2019,200-183101,200,183101,item-200-183101.xml,1,SA,11,SBAC-ELA-v1:1-LT|2-11|11-12.RL.2,"1-LT	","2-11	",200-193792,N,BRF,ENU-Braille,3,ENU,,,2,,HandScored,Y,FALSE,TRUE,TRUE,TRUE,8,IRTGPC,1,2,0.70592,1.22722,2.47382,,,1.85052,(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-1-LT,SBAC-1-LT|2-11,SBAC-1-LT|2-11|11-12.RL.2,,,,11-12.RL.2,"1-LT	|2-11	",,,Hand,0,,,1,2299,2493,2,2493,2583,3,2583,2682,4,2682,2795
(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-SUM-ELA-11-2019-2020,ELA,11,summative,SUM,Grade 11 ELA - Summative,1,2019,200-183097,200,183097,item-200-183097.xml,1,EBSR,11,SBAC-ELA-v1:1-LT|2-11|11-12.RL.2,"1-LT	","2-11	",200-193792,N,BRF,ENU-Braille,2,ENU,,,1,,Automatic with Key(s),Y,FALSE,TRUE,TRUE,TRUE,9,IRTGPC,1,2,0.70592,1.22722,2.47382,,,1.85052,(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-1-LT,SBAC-1-LT|2-11,SBAC-1-LT|2-11|11-12.RL.2,,,,11-12.RL.2,"1-LT	|2-11	",,,A;D,0,,,1,2299,2493,2,2493,2583,3,2583,2682,4,2682,2795
(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-SUM-ELA-11-2019-2020,ELA,11,summative,SUM,Grade 11 ELA - Summative,1,2019,200-183099,200,183099,item-200-183099.xml,1,MS,11,SBAC-ELA-v1:1-LT|3-11|11-12.L.4c,"1-LT	","3-11	",200-193792,N,BRF,ENU-Braille,1,ENU,,,1,,Automatic with Key(s),Y,FALSE,TRUE,TRUE,TRUE,10,IRTGPC,1,2,0.70592,1.22722,2.47382,,,1.85052,(SBAC)SBAC-SUM-ELA-11-2019-2020-2019,SBAC-1-LT,SBAC-1-LT|3-11,SBAC-1-LT|3-11|11-12.L.4c,,,,11-12.L.4c,"1-LT	|3-11	",,,"A,B,D",5,,,1,2299,2493,2,2493,2583,3,2583,2682,4,2682,2795
